formulation,Anion,molality,Solvent DN,Diluent DN,Anion DN,Solvent CID,Diluent CID,Anion CID,Solvent AN,Diluent AN,Solvent molar mass,Diluent molar mass,Anion molar mass,solvent molar ratio,diluent molar ratio,anion molar ratio,solvent volume,diluent volume,anion volume,Fractional CN solvent,Fractional CN diluent,Fractional CN anion,CN solvent,CN diluent,CN anion,CN total,Fraction Free Solvents,Fraction Free Diluents,Fraction Free Anions,Density [kg/m3],Volume [nm3],anion to solvent ratio
DMA/DME,TFSI,1.0,27.8,20.0,11.2,31374.0,8071.0,4176748.0,13.6,10.2,87.12,90.12,280.15,0.2829078399420605,0.565815679884121,0.0756382400869093,130.98940364974786,135.53372116858102,209.7630622823716,0.11725,0.54768,0.33507,0.37362,1.74521,1.06773,3.18656,0.90019,0.76678,0.18772,1042.9342,182.43706,0.26736
DMSO/DCD,TFSI,2.5,29.8,3.2,11.2,679.0,19869.0,4176748.0,19.3,16.7,78.14,156.95,280.15,0.2016047740010483,0.4032095480020967,0.1975928389984274,104.6290690568062,143.47530021417475,209.7630622823716,0.26973,0.06092,0.66935,0.99376,0.22445,2.46606,3.68427,0.02736,0.89014,0.0,1738.9823,214.01959,0.9801
DEA/DCD,TFSI,0.5,32.2,3.2,11.2,12703.0,19869.0,4176748.0,13.6,16.7,115.17,156.95,280.15,0.2916242596389108,0.5832485192778216,0.0625636105416337,177.36010258286555,143.47530021417475,209.7630622823716,0.63414,0.01185,0.35401,2.23591,0.04178,1.24819,3.52588,0.53934,0.99555,0.14059,1452.73096,186.61612,0.2145349999999999
MPL/DCM,BF4,2.5,27.3,1.0,7.3,13387.0,6344.0,26255.0,13.3,20.4,99.13,84.93,86.81,0.2301522457105375,0.460304491421075,0.1547716314341937,139.65543911138744,88.23001018449519,72.88470609916,0.335517122,3.85e-06,0.6644790264,1.3241098,1.52e-05,2.6223496,3.9464746,0.21158402,0.9999949,4.48e-07,1341.08276,137.070328,0.672475
DMSO/DCD,TFSI,0.2,29.8,3.2,11.2,679.0,19869.0,4176748.0,19.3,16.7,78.14,156.95,280.15,0.3167748769646378,0.6335497539292756,0.0248376845530433,104.6290690568062,143.47530021417475,209.7630622823716,0.97913,0.00019,0.02068,3.91745,0.00076,0.08274,4.0009500000000005,0.69414,0.99997,0.91726,1542.03748,148.61244,0.078408
DMSO/DCD,BF4,0.5,29.8,3.2,7.3,679.0,19869.0,26255.0,19.3,16.7,78.14,156.95,86.81,0.2948078442471197,0.5896156884942394,0.0577882336293204,104.6290690568062,143.47530021417475,72.88470609916,0.7620125262,0.0001857526057,0.2378017212,3.04817144,0.00074304,0.95124475,4.00015923,0.4050356,0.99992748,0.25984393,1527.02722,148.653503,0.19602
DEA/DCM,TFSI,1.5,32.2,1.0,11.2,12703.0,6344.0,4176748.0,13.6,20.4,115.17,84.93,280.15,0.2593973162753658,0.5187946325507317,0.1109040255869512,177.36010258286555,88.23001018449519,209.7630622823716,0.51509,0.00058,0.48433,1.90032,0.00213,1.78681,3.68926,0.22942,0.99955,0.04256,1341.24683,167.97923,0.427545
DME/THF,TFSI,2.0,20.0,20.0,11.2,8071.0,8028.0,4176748.0,10.2,8.0,90.12,72.11,280.15,0.2539772842716947,0.5079545685433895,0.1190340735924578,135.53372116858102,108.8495765108916,209.7630622823716,0.16901,0.51595,0.31504,0.63558,1.94024,1.1847,3.760520000000001,0.70225,0.54553,0.15858,1158.96924,175.97028,0.46868
MPL/DCD,PF6,1.5,27.3,3.2,-6.2,13387.0,19869.0,9886.0,13.3,16.7,99.13,156.95,144.964,0.2358996860175179,0.4717993720350358,0.1461504709737231,139.65543911138744,143.47530021417475,98.22421574221886,0.4197503871,0.03531052435,0.5449390885,1.65960027,0.13961001,2.15456873,3.95377901,0.140061165,0.95684202,0.021754738,1587.19568,176.630844,0.619545
MPL/DCD,BF4,0.5,27.3,3.2,7.3,13387.0,19869.0,26255.0,13.3,16.7,99.13,156.95,86.81,0.2929947876227282,0.5859895752454565,0.0605078185659077,139.65543911138744,143.47530021417475,72.88470609916,0.6118367873,0.0007299390066,0.3874332737,2.36225615,0.00281824,1.49585094,3.86092533,0.5327103,0.99971225,0.08041804,1475.9375,161.988083,0.2065149999999999
